 CellBody
 -1682.42 -1089.15 -111.15 0.19 ; 37; 1
 -1688.04 -1094.36 -111.15 0.19 ; 37; 2
 -1690.82 -1100.98 -111.15 0.19 ; 37; 3
 -1691.93 -1107.38 -111.15 0.19 ; 37; 4
 -1691.35 -1110.50 -111.15 0.19 ; 37; 5
 -1690.14 -1113.07 -111.15 0.19 ; 37; 6
 -1685.77 -1115.25 -111.15 0.19 ; 37; 7
 -1680.16 -1112.34 -111.15 0.19 ; 37; 8
 -1676.85 -1107.89 -111.15 0.19 ; 37; 9
 -1676.24 -1103.33 -111.15 0.19 ; 37; 10
 -1678.43 -1097.55 -111.15 0.19 ; 37; 11
 -1679.35 -1090.69 -111.15 0.19 ; 37; 12
 -1680.15 -1087.44 -111.15 0.19 ; 37; 13
 -1681.65 -1088.39 -111.15 0.19 ; 37; 14

 Color RGB 64; 160; 255
 Axon
 -1691.67 -1112.88 -112.00 2.61 ; Root
 -1693.98 -1114.40 -112.05 2.42 ; 1; R
 -1696.60 -1114.66 -112.00 2.42 ; 2
 -1699.31 -1115.33 -112.05 2.23 ; 3
 -1703.51 -1114.64 -111.45 2.05 ; 4
 -1705.77 -1114.81 -110.35 1.86 ; 5
 -1708.06 -1114.04 -110.35 1.86 ; 6
 -1711.81 -1113.62 -109.90 1.68 ; 7
 -1714.07 -1114.56 -109.90 1.68 ; 8
 -1716.65 -1115.77 -108.05 1.68 ; 9
 -1719.45 -1116.07 -108.05 1.68 ; 10
 -1721.58 -1116.79 -104.45 1.68 ; 11
 -1723.70 -1117.50 -104.40 1.68 ; 12
 -1726.23 -1118.12 -104.40 1.68 ; 13
 -1729.13 -1118.84 -103.25 1.68 ; 14
 -1730.76 -1120.00 -103.25 1.49 ; 15
 -1732.66 -1120.85 -103.25 1.49 ; 16
 -1733.11 -1121.35 -101.60 1.49 ; 17
 -1733.45 -1123.21 -103.65 0.37 ; 18
 -1733.92 -1124.62 -103.65 0.37 ; 19
 -1733.75 -1127.04 -103.65 0.37 ; 20
 -1735.81 -1129.69 -102.45 0.37 ; 21
 -1736.69 -1131.16 -100.00 0.19 ; 22
 -1738.75 -1132.63 -100.00 0.19 ; 23
 -1739.16 -1133.87 -96.55 0.56 ; 24
 -1741.69 -1134.40 -96.55 0.37 ; 25
 -1741.04 -1135.99 -94.55 0.37 ; 26
 -1741.22 -1137.11 -94.60 0.37 ; 27
 -1742.16 -1139.93 -94.55 0.37 ; 28
 -1742.87 -1142.05 -92.00 0.56 ; 29
 -1744.64 -1143.82 -92.00 0.56 ; 30
 -1745.93 -1144.76 -89.90 0.56 ; 31
 -1747.05 -1146.94 -89.90 0.56 ; 32
 -1748.99 -1147.47 -86.90 0.56 ; 33
 -1750.40 -1149.36 -86.90 0.56 ; 34
 -1750.93 -1151.53 -85.95 0.74 ; 35
 -1751.70 -1152.06 -83.25 0.74 ; 36
 -1752.87 -1153.24 -83.25 0.74 ; 37
 -1754.11 -1155.18 -80.45 0.56 ; 38
 -1755.99 -1156.13 -80.45 0.74 ; 39
 -1757.40 -1157.42 -80.45 0.74 ; 40
